stop_reason,stops,success,yield,contraband_discoveries
601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118,113,1,0.0088,1
21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114,113,1,0.0088,1
22105 VC - U TURN:OBSTRUCTED VIEW (I) 54352,113,0,0.0,0
10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054,111,31,0.2793,29
38170(A) VC - UNLAWFUL DISPLAY ID PLATE (I) 54617,111,1,0.009,0
23110(A) VC - THROW SUBSTANCE AT VEH (M) 13055,104,3,0.0288,2
11357(A) HS - POSS MARIJUANA 28.5- GRMS (I) 35429,103,28,0.2718,28
21703 VC - VEH FOLLOW TOO CLOSELY (I) 54179,102,2,0.0196,0
16025(A) VC - NO EVID:ID/INS/ETC:ACCDNT (I) 54102,102,0,0.0,0
647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006,100,1,0.01,1
496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035,99,34,0.3434,33
22500(B) VC - PARKING VIOL ON CROSSWALK (I) 66302,97,1,0.0103,1
484(A) PC - PETTY THEFT (M) 23087 | 484(A) PC - PETTY THEFT (M) 23087,95,43,0.4526,42
21453(D) VC - PED AGAINST RED LIGHT/ETC (I) 54153,95,6,0.0632,3
602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131,94,9,0.0957,8
602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100 | 602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100,94,8,0.0851,7
415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,93,4,0.043,4
484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244,92,15,0.163,15
11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152,91,30,0.3297,29
368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (F) 55321,90,4,0.0444,3
21800(D)(1) VC - FL STOP/YIELD INOPR SIGN (I) 66948,90,1,0.0111,1
21658(B) VC - FAIL OBEY LANE USE SIGNS (I) 54997,88,1,0.0114,1
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081,88,0,0.0,0
243(B) PC - BATT PO/EMERG PRSNL/ETC (M) 13081,86,4,0.0465,4
398 MV - TRESPASS: OFF LIMIT AREA (M) 32060,85,4,0.0471,4
1508 HS - UNAUTH COMMUNITY CARE FAC (M) 31083,85,2,0.0235,2
11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423,84,49,0.5833,49
187(A) PC - MURDER (F) 9005,84,15,0.1786,15
10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050,84,8,0.0952,8
24409(A) VC - FAIL DIM BEAMS:ONCOMING (I) 54192,83,0,0.0,0
4462 VC - DISPLAY/GIVE PO FLS REG (I) 66917,82,11,0.1341,9
21460.5(C) VC - DRIVE 2WAY LEFT TURN LANE (I) 54397,82,1,0.0122,0
25400(A)(2) PC - CCW ON PERSON (F) 52475,81,24,0.2963,22
602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106,81,7,0.0864,6
594(B)(2)(A) PC - VANDALISM -$400 (M) 29144,80,12,0.15,12
23111 VC - THROW/ETC CIG/ETC:HWY/ETC (I) 54170,80,1,0.0125,1
24603(D) VC - STOPLAMPS:VEH 2 REQUIRED (I) 54649,80,0,0.0,0
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111,79,11,0.1392,10
3056 PC - VIOLATION OF PAROLE:FEL (F) 50075,79,7,0.0886,7
