stop_reason,stops,success,yield,contraband_discoveries
245(D)(1) PC - ASSLT PO/FIRE W/FIREARM (F) 13238,3,1,0.3333,1
484(A) PC - PETTY THEFT:$50- (I) 23160 | 484(A) PC - PETTY THEFT:$50- (I) 23160,3,1,0.3333,1
647(J)(1) PC - PEEK BEDROOM/ETC INV PRIV (M) 57087,3,1,0.3333,1
640.6(B)(1) PC - GRAFITI:DAMAGE -$250:W/PR (M) 66151 | 640.6(B)(1) PC - GRAFITI:DAMAGE -$250:W/PR (M) 66151,3,1,0.3333,1
25269 VC - MISUSE RED WARNING LT (I) 66481,3,1,0.3333,1
243(D) PC - BATERY:SERIOUS BODILY INJ (M) 13180 | 243(D) PC - BATERY:SERIOUS BODILY INJ (M) 13180,3,1,0.3333,1
5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168 | 5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168,3,1,0.3333,1
71(A)(1) PC - THRTN SCHOOL/PUB OFCR/EMP (F) 33080,3,1,0.3333,1
16002(B) VC - FL EMPLR RPRT COLLISION (I) 54930,3,1,0.3333,1
243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084 | 243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084 | 243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084,3,0,0.0,0
22526(C) VC - BLOCK RR/RAIL TRANSIT X (I) 66336,3,0,0.0,0
4463.5(A) VC - MFG/ETC FAK/ETC LIC PLATE (M) 25080,3,0,0.0,0
26706(A) VC - WINDSHIELD WIPER VIOL (I) 66978,3,0,0.0,0
634 PC - INVADE PRIVACY:TRESPASS (F) 57012,3,0,0.0,0
27362.1(A) VC - CHLD RESTRNT SEAT VIOL (I) 66616,3,0,0.0,0
11362.4(C) HS - SMOKE/POSS MARIJ SCHL/YTH (I) 35440,3,0,0.0,0
12804.9(C) VC - OPR COMMERC VEH W/O MEDCL (M) 54886,3,0,0.0,0
22348(C) VC - SPEC VEH:WRONG PASS LANE (I) 54422,3,0,0.0,0
166(B)(1) PC - CNTEMPT OF COURT:PR 646.9 (M) 50166 | 166(B)(1) PC - CNTEMPT OF COURT:PR 646.9 (M) 50166 | 166(B)(1) PC - CNTEMPT OF COURT:PR 646.9 (M) 50166,3,0,0.0,0
21466 VC - LITE IMPAIR VIEW OF DVC (I) 54994,3,0,0.0,0
220(A)(2) PC - ASSLT W/INT TO RAPE -18 (F) 11129,3,0,0.0,0
23109.1(A) VC - ILLEGAL SPEED CONTEST:INJ (M) 66960,3,0,0.0,0
22500(L) VC - PARKING VIOL WHEELCHR ACS (I) 66312,3,0,0.0,0
273.6(D) PC - VIOL CRT ORD:VIO 7 YRS PR (M) 50207,3,0,0.0,0
21712(B) VC - UNLAWFUL RIDING:VEHICLE (I) 54339,3,0,0.0,0
11418.5(A) PC - THREAT/ETC W/WPN MAS DEST (F) 16023,3,0,0.0,0
26100(D) PC - DISCHARGE F/ARM FROM VEH (F) 52491,3,0,0.0,0
24607(D) VC - REAR RFLCTR VIOL MOUNT (I) 66440,3,0,0.0,0
122335(B) HS - PERSON TETHER/ETC DOG (M) 55265,3,0,0.0,0
398 MV - TRESPASS: OFF LIMIT AREA (M) 32060 | 398 MV - TRESPASS: OFF LIMIT AREA (M) 32060,3,0,0.0,0
36 2.31(A)(2) US - FR:TAMPER WITH PROPERTY (M) 4045,3,0,0.0,0
273(A) PC - PAY/RCV MONEY FR ADOPTION (M) 38108 | 273(A) PC - PAY/RCV MONEY FR ADOPTION (M) 38108,3,0,0.0,0
1508 HS - UNAUTH COMMUNITY CARE FAC (M) 31083 | 1508 HS - UNAUTH COMMUNITY CARE FAC (M) 31083,3,0,0.0,0
451.5(A)(3) PC - AGG ARSON:5+ INHAB STRUCT (F) 20054,3,0,0.0,0
626.9(D) PC - DISCHARGE F/ARM:SCH ZONE (F) 33047,3,0,0.0,0
451(A) PC - ARSON CAUSING GBI (F) 20018 | 451(A) PC - ARSON CAUSING GBI (F) 20018,3,0,0.0,0
20002(B) VC - HIT&RUN RNWY VEH:PROP DAM (M) 54063 | 20002(B) VC - HIT&RUN RNWY VEH:PROP DAM (M) 54063,3,0,0.0,0
243.4(A) PC - SEXUAL BATT BY RESTRAINT (M) 11113 | 243.4(A) PC - SEXUAL BATT BY RESTRAINT (M) 11113,3,0,0.0,0
21201.5(A) VC - SELL TIRE W/O REFLECTR (I) 54944,3,0,0.0,0
5201(E)(1) VC - LIC PLT:LVSTCK TRLR VIOL (I) 54726,3,0,0.0,0
22406.1(A) VC - COMM VEH EXCEED MAX SPEED (I) 66951,3,0,0.0,0
24604(A) VC - NO LAMP/FLAG/ETC EXT LOAD (I) 66971,3,0,0.0,0
11713(J) VC - DLR MISUSE/ETC:SPEC PLATE (M) 26552,3,0,0.0,0
273.5(F)(2) PC - CORP INJ SPOUSE W/PR BATT (M) 38103,3,0,0.0,0
31610(C) VC - VIOL PRPR MAINT VEH TIRE (M) 66706,3,0,0.0,0
29805(B) PC - POSS OF FIREARM W/MISD (F) 52670 | 29805(B) PC - POSS OF FIREARM W/MISD (F) 52670,3,0,0.0,0
23135 VC - OPR HWY MOD MTRZD BICYCLE (I) 66361,3,0,0.0,0
18 1382 US - TRESPAS MILITARY ETC/PROP (M) 32088,3,0,0.0,0
1993 CP - WARRANT:ABSENT WITNESS (X) 50141,3,0,0.0,0
1320(A) PC - FTA:MISDEMEANOR CHARGE (M) 50119,3,0,0.0,0
"Non-moving Violation, including Registration Violation",3,0,0.0,0
24602(B) VC - FOG TAILLAMPS VIOL (I) 66429,3,0,0.0,0
647B PC - LOITR ADLT SCH:MOLST PUPL (M) 33025 | 647B PC - LOITR ADLT SCH:MOLST PUPL (M) 33025,3,0,0.0,0
23152(B) VC - DUI 0.08 W/PR:PER 23550VC (F) 42099 | 23152(B) VC - DUI 0.08 W/PR:PER 23550VC (F) 42099,3,0,0.0,0
273.6(E) PC - VIOL CRT ORD VIO W/PR INJ (M) 50210,3,0,0.0,0
23136(A) VC - DUI:UNDR 21YR W/BA.01 (I) 42095,3,0,0.0,0
602(S) PC - TRESPASS:REF TO LV HOTEL (M) 32108 | 602(S) PC - TRESPASS:REF TO LV HOTEL (M) 32108,3,0,0.0,0
21955 VC - JAYWALKING (I) 54145 | 21955 VC - JAYWALKING (I) 54145,3,0,0.0,0
498(B)(3) PC - THFT UTIL SRVS TAMPR PROP (M) 23254,3,0,0.0,0
21293(A)(1) VC - ELEC MTR BOARD FRNT LIGHT (I) 54976,3,0,0.0,0
13000 HS - FAIL PREVENT FIRE SPREAD (M) 55046,3,0,0.0,0
21106(B) VC - CROS IN XWALK:PROHIB SIGN (I) 54317,3,0,0.0,0
15630(H) WI - F/RPT ELDER ABUSE:INJ/DTH (M) 55262,3,0,0.0,0
4461(A) VC - IMPROP USE/ETC REG:UNAUTH (M) 26545,3,0,0.0,0
29004(A)(2) VC - TOW SFTY CHAIN NOT SECURE (I) 66679,3,0,0.0,0
1026.4(A) PC - ESCAPE MENTAL HEALTH FAC (M) 49099 | 1026.4(A) PC - ESCAPE MENTAL HEALTH FAC (M) 49099,3,0,0.0,0
242 PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13173 | 242 PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13173,3,0,0.0,0
21968(A) VC - UNLAW MOTORIZED SKATBOARD (I) 66286,3,0,0.0,0
602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131 | 602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131 | 602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131,3,0,0.0,0
417(C) PC - EXHIB/ETC F/ARM:PO PRESNT (M) 52303,3,0,0.0,0
Witness or victim identified stopped person as a suspect of a crime,3,0,0.0,0
236 PC - FALSE IMPRISONMENT (F) 56016 | 236 PC - FALSE IMPRISONMENT (F) 56016,3,0,0.0,0
21800(D)(2) VC - FL YLD RIGHT WY INOP SIGN (I) 66276,3,0,0.0,0
27315.3(B) VC - SEATBLT WRNING VIOL (I) 66607,3,0,0.0,0
11364.7(B) HS - MFG DRUG PARA:INT:DEL/ETC (F) 35342,3,0,0.0,0
21707 VC - UNAUTH VEH IN FIRE AREA (I) 54513,3,0,0.0,0
26700(A) VC - NO WINDSHIELDS (I) 66977,3,0,0.0,0
24004 VC - OPERATE AFTER NTC BY OFCR (I) 54693,3,0,0.0,0
602.5(B) PC - UNAUTH ENTRY OCCU DWLING (M) 32135,3,0,0.0,0
23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104,3,0,0.0,0
76(A) PC - THREATEN PUB OFFICIAL (M) 16061,3,0,0.0,0
266I(A)(4) PC - PANDER ENCRG PLACE PROST (F) 40050,3,0,0.0,0
148.5(A) PC - FALSE CRIME:TO SPEC PO'S (M) 53104,3,0,0.0,0
14604(A) VC - OWN LET UNLICENSD OPR VEH (M) 54017,3,0,0.0,0
34016(E) BP - VIOLATION MARIJUANA TAX (M) 31296,3,0,0.0,0
22507.8(A) VC - PARK IN SPACE FOR DISABLE (I) 54221 | 22507.8(A) VC - PARK IN SPACE FOR DISABLE (I) 54221,3,0,0.0,0
853.8 PC - FAILURE TO APPEAR WARRANT (X) 50129 | 853.8 PC - FAILURE TO APPEAR WARRANT (X) 50129,3,0,0.0,0
666.1(A)(1) PC - PETTY THFT W/2+PRIORS (F) 23287,3,0,0.0,0
273.6(D) PC - VIOL CRT ORD:VIO 7 YRS PR (F) 50205,3,0,0.0,0
11736(C) VC - FL REFUND PURCH MNY DEMND (M) 31415,3,0,0.0,0
22435.2(A) BP - REM SHOPPING/LAUNDRY CART (M) 23127 | 22435.2(A) BP - REM SHOPPING/LAUNDRY CART (M) 23127,3,0,0.0,0
22452(C) VC - FL COMMERC VEH STP RR X (I) 66298,3,0,0.0,0
36 2.31(A)(3) US - FR:VANDLSM DESTROY PROP (M) 4031,3,0,0.0,0
25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475,3,0,0.0,0
647(B)(3) PC - PROSTITUTN PRVD COMP MNR (M) 40054,3,0,0.0,0
27317(B) VC - SELL/ETC CNTRFT AIRBAG (M) 66608,3,0,0.0,0
245(A)(1) PC - ADW NOT FIREARM (M) 13220 | 245(A)(1) PC - ADW NOT FIREARM (M) 13220 | 245(A)(1) PC - ADW NOT FIREARM (M) 13220,3,0,0.0,0
646.9(A) PC - STALKING (F) 16012 | 646.9(A) PC - STALKING (F) 16012,3,0,0.0,0
35252(B) VC - VERT CLEAR MSR DVC HAZARD (I) 66817,3,0,0.0,0
23114(E)(1) VC - TRNSP AGGREGTE UNCVRD:HWY (M) 54508,3,0,0.0,0
10167.2 BP - RENTAL BUSINES:NO LICENSE (M) 31194,3,0,0.0,0
4461 VC - USE DISABL PLAC PARKING (M) 66916,3,0,0.0,0
11170 HS - CNTL SUB FOR SELF USE (M) 35108,3,0,0.0,0
21709 VC - DRV W/I PROHIB SFTY ZONE (I) 66251,3,0,0.0,0
384A(A)(1) PC - CUT/DEST/RMV PLANT ON HWY (M) 29195 | 384A(A)(1) PC - CUT/DEST/RMV PLANT ON HWY (M) 29195,3,0,0.0,0
10801 VC - OWN/ETC CHOP SHOP (F) 26306,3,0,0.0,0
21367(B) VC - FAIL CONSTRUCTN TRAF CNTL (I) 54224,3,0,0.0,0
21664 VC - UNLAW FREEWAY ENTRY (I) 66244,3,0,0.0,0
11362.4(C) HS - SMOKE/POSS MARIJ SCHL/YTH (M) 35441,3,0,0.0,0
5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644 | 5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644,3,0,0.0,0
273A(A) PC - CHLD ABUSE W/POSS GBI/DTH (F) 38095,3,0,0.0,0
22810(A) PC - UNLAWFL POSS/USE TEAR GAS (M) 52653 | 22810(A) PC - UNLAWFL POSS/USE TEAR GAS (M) 52653,2,2,1.0,2
23920(A) PC - POSS/ETC F/ARM W/O ID MRK (M) 52863,2,2,1.0,2
29010(A) PC - UNLAWFUL MFG OF FIREARM (M) 52821,2,2,1.0,1
484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244 | 484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244 | 484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244,2,2,1.0,2
422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049,2,2,1.0,2
38026.5(B) VC - PROH OPR OFF RD VEH HWY (I) 54555,2,2,1.0,0
21810 PC - MFG/SALE/ETC METAL KNUCKL (F) 52536 | 21810 PC - MFG/SALE/ETC METAL KNUCKL (F) 52536,2,2,1.0,2
29805(A) PC - POSS F/ARM BY CONV MISD (F) 52833,2,2,1.0,1
381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233 | 381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233,2,2,1.0,2
32625(A) PC - POSSESS/ETC MACHINEGUN (F) 52631 | 32625(A) PC - POSSESS/ETC MACHINEGUN (F) 52631,2,2,1.0,2
640.8 PC - GRAFFITI/ETC:FREEWAY/ETC (M) 29141 | 640.8 PC - GRAFFITI/ETC:FREEWAY/ETC (M) 29141,2,2,1.0,2
648 PC - MAKE UNAUTH PAPER MONEY (M) 25024,2,2,1.0,2
530.5(C)(3) PC - POSS ID OF 10+ PERSN DFRD (F) 44122,2,2,1.0,2
626.9(B) PC - FIREARM AT SCHOOL (F) 33042 | 626.9(B) PC - FIREARM AT SCHOOL (F) 33042,2,1,0.5,1
1203.2 PC - PROB VIOL:REARREST/REVOKE (X) 50037,2,1,0.5,0
203 PC - MAYHEM (F) 13005,2,1,0.5,1
29610(A) PC - MNR POSS HANDGUN (M) 52849 | 29610(A) PC - MNR POSS HANDGUN (M) 52849,2,1,0.5,1
451(C) PC - ARSON:FOREST LAND (F) 20020 | 451(C) PC - ARSON:FOREST LAND (F) 20020 | 451(C) PC - ARSON:FOREST LAND (F) 20020,2,1,0.5,1
211 PC - ROBBERY 1ST DEG HOME INV (F) 12040,2,1,0.5,1
236 PC - FALSE IMPRISON W/VIOLENCE (F) 56020 | 236 PC - FALSE IMPRISON W/VIOLENCE (F) 56020,2,1,0.5,1
602(C) PC - TRESP:INJURE/ETC FREEHOLD (M) 32025 | 602(C) PC - TRESP:INJURE/ETC FREEHOLD (M) 32025 | 602(C) PC - TRESP:INJURE/ETC FREEHOLD (M) 32025,2,1,0.5,1
23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090 | 23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090 | 23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090,2,1,0.5,1
22511.1(A) VC - PARK/STAND ELEC SPACE (I) 66317,2,1,0.5,1
1551 PC - FUG JUST:WARRANT ARREST (F) 49052 | 1551 PC - FUG JUST:WARRANT ARREST (F) 49052,2,1,0.5,1
602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080 | 602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080,2,1,0.5,1
11364.5(A) HS - SELL/ETC DRUG PARAPH:-18 (M) 35309 | 11364.5(A) HS - SELL/ETC DRUG PARAPH:-18 (M) 35309,2,1,0.5,1
2800.2(A) VC - DISREGARD SAFETY:EVADE PO (M) 48128,2,1,0.5,1
459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021,2,1,0.5,1
647(J)(2) PC - INVAD PRIVCY CONCLD VIDEO (M) 57088,2,1,0.5,1
594.7 PC - VANDAL DEFACE PROP:PRIORS (F) 29129,2,1,0.5,1
11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349,2,1,0.5,1
417.3 PC - EXH F/ARM PRES VEH OCCUPT (F) 52175 | 417.3 PC - EXH F/ARM PRES VEH OCCUPT (F) 52175,2,1,0.5,1
530.5(A) PC - OBT CREDIT/ETC:OTHER'S ID (M) 44053,2,1,0.5,1
417.25(A) PC - THREAT W/LASER SCOPE:FEAR (M) 52267,2,1,0.5,1
33211.6(A) PR - UNAUTHORIZED DUMPING (M) 66185,2,1,0.5,0
653M(B) PC - W/INTENT/ANNY/HARRASS:PHN (M) 53138,2,1,0.5,1
11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,2,1,0.5,1
530.5(A) PC - GET CREDIT/ETC OTHER'S ID (F) 44050 | 530.5(A) PC - GET CREDIT/ETC OTHER'S ID (F) 44050,2,1,0.5,1
314(2) PC - ASSIST INDECENT EXPOSURE (M) 36344 | 314(2) PC - ASSIST INDECENT EXPOSURE (M) 36344,2,1,0.5,1
171C(A)(1) PC - LOADED FIREARM ST CAPITOL (F) 52684,2,1,0.5,1
21810 PC - MFG/SALE/ETC METAL KNUCKL (F) 52536,2,1,0.5,1
240 PC - ASSAULT ON PERSON (M) 13047 | 240 PC - ASSAULT ON PERSON (M) 13047,2,1,0.5,1
487(B)(3) PC - GRAND THFT BY SERVANT/ETC (F) 23142,2,1,0.5,1
6700(C) VC - FL REG NONRES VEH 20DY (I) 54813,2,1,0.5,1
24951(B) VC - TURN SIGNAL VIOLATION (I) 54431 | 24951(B) VC - TURN SIGNAL VIOLATION (I) 54431,2,1,0.5,1
496A(A) PC - DLR BUY METAL/ETC W/O DIL (M) 31315,2,1,0.5,1
10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050 | 10852 VC - TAMPER WITH VEHICLE (M) 29050,2,1,0.5,1
415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072 | 415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,2,1,0.5,1
23225(A)(1) VC - OWNER/DRIVER:OPEN ALC:VEH (I) 54487,2,1,0.5,1
30605(A) PC - ILL POSS ASSAULT WPN (F) 52510 | 30605(A) PC - ILL POSS ASSAULT WPN (F) 52510,2,1,0.5,1
289(A)(1)(A) PC - SEX PENETRATION:FORCE/ETC (F) 11100,2,1,0.5,1
11395(B)(1) HS - POSS CNTL SUB W/2+PRS (F) 35030 | 11395(B)(1) HS - POSS CNTL SUB W/2+PRS (F) 35030,2,1,0.5,1
417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136,2,1,0.5,1
476 PC - MAKE FICT CHECK INT DFRD (F) 25132,2,1,0.5,1
186.22(A) PC - PARTICIPATE:CRIM ST GANG (F) 66062 | 186.22(A) PC - PARTICIPATE:CRIM ST GANG (F) 66062 | 186.22(A) PC - PARTICIPATE:CRIM ST GANG (F) 66062,2,1,0.5,1
247(B) PC - SHOOT UNOC DWELL/VEH/ETC (F) 13156,2,1,0.5,0
211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004,2,1,0.5,1
266H(B)(2) PC - PIMPING:PROSTITUTE -16 (F) 40043,2,1,0.5,1
10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067,2,1,0.5,1
23220(B) VC - DRNK ALC/MARIJ AS PASSNGR (I) 42123,2,1,0.5,1
13002(A) HS - THROW FLAME SUB FROM VEH (M) 55062,2,1,0.5,1
244 PC - ASSLT THROWING ACID/ETC (F) 13234,2,1,0.5,1
21954(A) VC - PED NOT STOP:OUT CROSWALK (I) 54162 | 21954(A) VC - PED NOT STOP:OUT CROSWALK (I) 54162,2,1,0.5,1
22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306 | 22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306,2,1,0.5,0
25400(A)(1) PC - CCW IN VEHICLE (M) 52480 | 25400(A)(1) PC - CCW IN VEHICLE (M) 52480,2,1,0.5,1
3056 PC - VIOLATION OF PAROLE:FEL (F) 50075 | 3056 PC - VIOLATION OF PAROLE:FEL (F) 50075 | 3056 PC - VIOLATION OF PAROLE:FEL (F) 50075,2,1,0.5,1
243(C) PC - BATTERY PO/ETC W/INJURY (F) 13226,2,1,0.5,1
36 2.35(A)(2)(II) US - FR:POSS ALCOHOL UNDER 21 (M) 41066,2,1,0.5,1
2913 BP - PSYCHOLOGICAL ASSIST VIOL (M) 55081 | 2913 BP - PSYCHOLOGICAL ASSIST VIOL (M) 55081,2,1,0.5,0
666.5(A) PC - VEH/ETC THEFT:SPEC PRIORS (F) 24061 | 666.5(A) PC - VEH/ETC THEFT:SPEC PRIORS (F) 24061,2,1,0.5,1
463(B) PC - LOOT/GRAND THEFT ST EMERG (F) 23255,2,0,0.0,0
853.7 PC - FTA AFTER WRITTEN PROMISE (M) 50032,2,0,0.0,0
243(E) PC - BATTERY:SPOUSE/ETC (M) 13187 | 243(E) PC - BATTERY:SPOUSE/ETC (M) 13187 | 243(E) PC - BATTERY:SPOUSE/ETC (M) 13187,2,0,0.0,0
206 PC - TORTURE (F) 13142,2,0,0.0,0
12500(D) VC - OPR VEH/ETC W/O LIC TYP (I) 54458,2,0,0.0,0
647C PC - OBSTRUCT MOVEMENT PUB PL (M) 53155 | 647C PC - OBSTRUCT MOVEMENT PUB PL (M) 53155,2,0,0.0,0
15620(A) VC - CHILD 6- ALONE IN VEHICLE (I) 54545,2,0,0.0,0
21752(D) VC - DRIVE LEFT SIDE VIOLATION (I) 66264,2,0,0.0,0
14 4451(A) CA - CA REG:CAMPING VIOLATION (M) 62120 | 14 4451(A) CA - CA REG:CAMPING VIOLATION (M) 62120,2,0,0.0,0
36 4.14(B) US - FR:O/CONTAINER ALC IN MV (M) 4033,2,0,0.0,0
236 PC - FALSE IMPRISONMENT (M) 56008 | 236 PC - FALSE IMPRISONMENT (M) 56008,2,0,0.0,0
381B PC - POSSESS NITROUS OXIDE (M) 35235 | 381B PC - POSSESS NITROUS OXIDE (M) 35235,2,0,0.0,0
538F PC - IMP PUBLIC UTILITY EMP (M) 44059,2,0,0.0,0
21716 VC - DRIVE GOLF CART ON HWY (I) 66260,2,0,0.0,0
23127 VC - OPR MOTOR VEH:TRAILS/PATH (M) 54123,2,0,0.0,0
647.6(A)(1) PC - ANNOY/MOL VICT UNDER 18 (M) 36175,2,0,0.0,0
654.5 HN - THROW OBJECT AT OCC/VESSL (M) 54558,2,0,0.0,0
21260(B)(2) VC - LW SPEED VEH UNCNTRL INTR (I) 54968,2,0,0.0,0
602(L)(3) PC - TRESP TAMPER W/ GATE LOCK (M) 32141 | 602(L)(3) PC - TRESP TAMPER W/ GATE LOCK (M) 32141,2,0,0.0,0
1317.4B(A) HS - FL PRVD EMERG PSYCH SRVC (M) 31356,2,0,0.0,0
241(C) PC - ASLT PO/FIREFIGHTER/ETC (M) 13207,2,0,0.0,0
498(B)(5) PC - THFT UTIL SRVS RCV BENEFT (F) 23237,2,0,0.0,0
6071 RT - BUSINESS W/O SALES PERMIT (M) 31076,2,0,0.0,0
182(A)(1) PC - CONSPIRACY:COMMIT CRIME (M) 46038,2,0,0.0,0
21211(B) VC - ILL IMPEDE BCYCL LN PARK (I) 54949,2,0,0.0,0
243.1 PC - BATT ON CUSTODIAL OFFICER (F) 13061,2,0,0.0,0
27802(B) VC - SELL/USE SFTY HELMET VIOL (I) 54577,2,0,0.0,0
288(A) PC - L&L W/CHILD UNDER 14 (F) 36055 | 288(A) PC - L&L W/CHILD UNDER 14 (F) 36055 | 288(A) PC - L&L W/CHILD UNDER 14 (F) 36055,2,0,0.0,0
11375(B)(1) HS - POSS F/SALE DES CNTL SUB (F) 35401,2,0,0.0,0
5017(B) VC - FLR ATTACH PERM ID PLATE (I) 54778,2,0,0.0,0
38310 VC - VIOL 15MPH SPEED CAMP/ETC (I) 54322,2,0,0.0,0
29805(B) PC - POSS OF FIREARM W/MISD (F) 52670 | 29805(B) PC - POSS OF FIREARM W/MISD (F) 52670 | 29805(B) PC - POSS OF FIREARM W/MISD (F) 52670 | 29805(B) PC - POSS OF FIREARM W/MISD (F) 52670,2,0,0.0,0
261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054 | 261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054,2,0,0.0,0
25800(A) PC - CARRY LOAD F/ARM:COMT FEL (F) 52568 | 25800(A) PC - CARRY LOAD F/ARM:COMT FEL (F) 52568,2,0,0.0,0
22435.2(C) BP - POSS ALTERED SHOPING CART (M) 23175,2,0,0.0,0
25950(C) VC - VEH LAMPS/ETC COLOR VIOL (I) 66516,2,0,0.0,0
23103(B) VC - RECKLESS DRIVING:PARK LOT (M) 54087 | 23103(B) VC - RECKLESS DRIVING:PARK LOT (M) 54087,2,0,0.0,0
290 PC - FAIL TO REG AS SEX OFFNDR (F) 36259,2,0,0.0,0
11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212,2,0,0.0,0
136.1(B)(2) PC - ATT STOP VIC/ETC:PROSCUTE (F) 48119,2,0,0.0,0
647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082 | 647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082 | 647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082 | 647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082,2,0,0.0,0
24609(A) VC - VIOL VEH REFLECTOR REQ (I) 66443,2,0,0.0,0
602.1(C) PC - INTERFER W/BUS PUB AGENCY (I) 32124,2,0,0.0,0
1203.3 PC - PROBATION REVOKED/ETC (X) 50135 | 1203.3 PC - PROBATION REVOKED/ETC (X) 50135,2,0,0.0,0
248 PC - IMPAIR AIRCRAFT:LIGHT/ETC (M) 13186,2,0,0.0,0
11354(A) HS - MINOR GIVE MINOR CNTL SUB (F) 35157,2,0,0.0,0
1320.5 PC - FTA ON FELONY CHARGE (F) 50093,2,0,0.0,0
25400(C) VC - USE DIFFUSED LT VIOL (I) 66503,2,0,0.0,0
18 113(A)(6) US - ASSAULT RESULTING IN SBI (F) 13216,2,0,0.0,0
243(C)(2) PC - BATTERY AGAINST PO (F) 13182,2,0,0.0,0
